Category,Subfolder,File,Source,PW score (Entity Coherence),PU score (Entity Coherence),PACC uniform (Entity Coherence),PACC weighted (Entity Coherence),Avg entities/sentence (Entity Coherence),Total entities (Entity Coherence),Sentences analyzed (Entity Coherence),Entity persistence ratio (Entity Coherence),Consensus grade level (Readability),Flesch Reading Ease 0-100 (Readability),Flesch-Kincaid grade level (Readability),ARI grade level (Readability),Gunning Fog grade level (Readability),SMOG grade level (Readability),Coleman-Liau grade level (Readability),Interpretation (Readability),Structure score 0-100 (Structure),Headings count (Structure),Headings per sentence (Structure),List items count (Structure),Lists per sentence (Structure),Readiness score 0-100 (Requirements),SMAO sentences count (Requirements),SMAO sentences % (Requirements),Vague words per sentence (Requirements),Anaphora per sentence (Requirements),Sentence CV (Requirements),CPRE terms per sentence (CPRE)
PURE,pure_raw_markdown,2007 - central trading system,"PURE dataset (Napolitano et al., 2021)",40.47,24.02,122.17,2.13,2.84,355,125,0.43,12.2,43.1,10.0,11,13.5,12.2,13.8,Difficult (College),0.0,0,0.0,0,0.0,44.8,2,0.9,0.12,0.17,1.389,0.88
PURE,pure_raw_markdown,2003 - qheadache,"PURE dataset (Napolitano et al., 2021)",31.63,22.48,81.79,2.07,1.98,279,141,0.41,5.4,63.3,4.9,9,7.9,6.5,-1.2,Standard (8th-9th grade),47.6,39,0.04,12,0.01,46.0,1,0.1,0.04,0.04,2.453,0.06
PURE,pure_raw_markdown,1999 - tcs,"PURE dataset (Napolitano et al., 2021)",352.34,240.58,1301.67,3.21,1.94,2834,1461,0.44,10.6,46.1,9.2,9,12.6,11.4,11.2,Difficult (College),12.3,14,0.0,170,0.05,44.8,58,1.6,0.09,0.06,1.666,0.31
PURE,pure_raw_markdown,2008 - peering,"PURE dataset (Napolitano et al., 2021)",74.16,41.88,177.5,2.2,2.39,604,253,0.47,13.3,30.6,11.5,11,15.5,12.8,14.8,Difficult (College),43.0,31,0.06,74,0.15,46.0,0,0.0,0.06,0.26,1.208,0.42
PURE,pure_raw_markdown,2009 - gaia,"PURE dataset (Napolitano et al., 2021)",68.05,29.14,137.66,1.99,2.75,611,222,0.44,12.0,44.6,10.9,11,14.1,13.1,11.3,Difficult (College),27.4,62,0.16,4,0.01,46.0,7,1.8,0.1,0.22,1.184,0.72
PURE,pure_raw_markdown,2001 - beyond,"PURE dataset (Napolitano et al., 2021)",67.72,50.68,204.46,1.77,1.63,954,584,0.5,13.1,32.1,11.7,11,15.5,13.3,14.2,Difficult (College),22.2,13,0.01,78,0.09,29.4,3,0.3,0.17,0.35,1.066,0.65
PURE,pure_raw_markdown,2005 - microcare,"PURE dataset (Napolitano et al., 2021)",96.16,48.16,304.87,2.28,1.97,558,283,0.54,14.0,39.3,13.2,14,15.8,14.4,13.2,Difficult (College),40.8,8,0.03,199,0.7,46.0,32,11.2,0.11,0.28,1.345,1.22
PURE,pure_raw_markdown,2005 - pontis,"PURE dataset (Napolitano et al., 2021)",168.14,110.96,440.21,2.3,1.39,1276,919,0.56,12.6,33.5,10.9,12,13.9,11.9,13.9,Difficult (College),13.4,57,0.03,41,0.02,45.4,43,2.4,0.09,0.19,1.235,0.74
PURE,pure_raw_markdown,2000 - nasa x38,"PURE dataset (Napolitano et al., 2021)",187.04,139.7,389.19,3.2,1.39,1784,1284,0.48,9.3,51.2,7.5,8,11.1,9.5,9.7,Fairly Difficult (10th-12th grade),5.2,42,0.01,0,0.0,44.8,4,0.1,0.06,0.09,1.75,0.19
PURE,pure_raw_markdown,2006 - stewards,"PURE dataset (Napolitano et al., 2021)",116.48,71.98,296.37,2.46,2.69,1134,421,0.45,12.9,33.9,11.5,11,14.7,12.9,13.8,Difficult (College),18.6,46,0.06,21,0.03,45.4,24,3.1,0.15,0.21,1.11,0.94
GitHub Articles,non_related_github,dynverse__dynmethods__README,https://github.com/dynverse/dynmethods,156.8,67.34,211.43,2.13,1.37,461,336,0.36,5.4,81.5,3.0,9,4.3,6.1,4.6,Easy (6th grade),15.6,7,0.01,4,0.0,46.0,0,0.0,0.0,0.01,0.729,0.06
GitHub Articles,non_related_github,seanpm2001__Raspberry-Pi-Network-Setup__Learn-Pi__2023__01_January__10__OldVersions__English__USA__README_V1,https://github.com/seanpm2001/Raspberry-Pi-Network-Setup,85.79,54.43,238.15,2.12,1.23,762,619,0.41,9.3,60.8,7.6,9,11.1,10.9,8.3,Standard (8th-9th grade),62.4,117,0.19,100,0.17,46.0,0,0.0,0.08,0.32,2.371,0.13
PURE,pure_raw_markdown,2007 - eirene fun 7,"PURE dataset (Napolitano et al., 2021)",211.37,162.24,519.38,2.48,0.98,1157,1175,0.45,9.4,51.6,7.9,8,11.3,10.3,9.8,Fairly Difficult (10th-12th grade),32.8,22,0.01,423,0.16,45.4,15,0.6,0.05,0.13,1.883,0.17
GitHub Articles,non_related_github,seanpm2001__RaspberryPi-Blog__Learn-Pi__2023__01_January__10__README,https://github.com/seanpm2001/RaspberryPi-Blog,85.47,54.29,237.77,2.11,1.23,759,619,0.41,9.3,60.9,7.6,9,11.1,10.9,8.3,Standard (8th-9th grade),62.5,117,0.19,100,0.17,46.0,0,0.0,0.08,0.32,2.375,0.13
PURE,pure_raw_markdown,2001 - elsfork,"PURE dataset (Napolitano et al., 2021)",84.71,59.96,199.06,2.38,2.52,1845,731,0.4,13.4,36.2,11.9,14,14.4,13.3,14.1,Difficult (College),18.3,20,0.02,80,0.07,46.0,10,0.9,0.14,0.18,1.892,0.43
GitHub Articles,non_related_github,posl__RepTran-replication__transformers-4.30.2__README_ja,https://github.com/posl/RepTran-replication,187.86,83.39,211.65,2.0,5.77,2834,491,0.32,11.5,47.6,8.6,12,12.0,10.6,13.6,Difficult (College),53.9,14,0.01,245,0.21,46.0,0,0.0,0.04,0.02,1.443,0.14
GitHub Articles,non_related_github,Yangzhangcst__RGBD-semantic-segmentation__README,https://github.com/Yangzhangcst/RGBD-semantic-segmentation,92.72,54.92,126.79,1.33,1.4,1009,722,0.42,8.0,57.6,6.0,11,9.1,7.6,5.5,Fairly Difficult (10th-12th grade),56.3,14,0.01,149,0.09,46.0,0,0.0,0.02,0.0,1.141,0.06
GitHub Articles,non_related_github,seanpm2001__GitHub_Organization_Info__OrganizationGraphics__ByDate__2025__08_August__22__README,https://github.com/seanpm2001/GitHub_Organization_Info,72.04,48.56,194.18,1.46,0.95,641,677,0.47,10.4,52.9,9.2,11,11.4,11.2,10.1,Fairly Difficult (10th-12th grade),48.7,29,0.05,185,0.35,30.0,0,0.0,0.09,0.51,1.288,0.11
GitHub Articles,non_related_github,AskSinPP__asksinpp-web__rftypes__README,https://github.com/AskSinPP/asksinpp-web,486.31,79.16,507.5,4.3,4.79,857,179,0.29,6.3,78.3,3.6,11,4.2,6.1,6.7,Fairly Easy (7th grade),0.4,1,0.0,0,0.0,46.0,0,0.0,0.01,0.0,0.669,0.0
GitHub Articles,non_related_github,alexbelgium__hassio-addons__README,https://github.com/alexbelgium/hassio-addons,410.55,223.58,472.38,4.49,1.3,818,627,0.23,9.0,57.7,5.9,19,7.3,7.0,6.4,Fairly Difficult (10th-12th grade),9.2,12,0.0,10,0.0,46.0,0,0.0,0.01,0.01,1.237,0.17
GitHub Articles,non_related_github,TheoEwzZer__SpotifyClone__README,https://github.com/TheoEwzZer/SpotifyClone,100.36,73.75,377.28,2.18,1.53,840,549,0.49,10.6,49.2,8.8,9,11.7,11.0,12.4,Difficult (College),26.0,11,0.01,22,0.03,46.0,0,0.0,0.11,0.3,0.82,0.41
GitHub Articles,non_related_github,ppingzhang__Deep-Learning-Based-Image-Compression__README,https://github.com/ppingzhang/Deep-Learning-Based-Image-Compression,271.35,118.32,405.87,3.16,5.02,2321,462,0.34,10.8,54.3,7.9,14,10.2,10.0,11.9,Fairly Difficult (10th-12th grade),55.6,24,0.02,267,0.22,46.0,0,0.0,0.02,0.01,1.293,0.12
GitHub Articles,non_related_github,KISPE-Harvey__kispe-boardmanager__stm32__0.0.1__README,https://github.com/KISPE-Harvey/kispe-boardmanager,524.67,359.6,553.43,5.09,1.36,1316,968,0.21,10.3,66.4,4.6,30,9.1,7.1,0.7,Standard (8th-9th grade),52.3,42,0.03,51,0.03,46.0,0,0.0,0.02,0.01,2.189,0.04
GitHub Articles,non_related_github,seanpm2001__SeansLifeArchive_Images_AdCom_Y2023__2023__12_December__30__README,https://github.com/seanpm2001/SeansLifeArchive_Images_AdCom_Y2023,412.14,289.5,2292.22,3.48,0.35,467,1323,0.54,9.2,63.5,8.0,8,11.2,11.1,7.7,Standard (8th-9th grade),6.8,26,0.03,5,0.01,30.0,0,0.0,0.16,0.6,0.649,0.01
GitHub Articles,non_related_github,SimengSun__alpaca_farm_lora__transformers-4.30.1__README_ja,https://github.com/SimengSun/alpaca_farm_lora,187.86,83.39,211.65,2.0,5.77,2834,491,0.32,11.5,47.7,8.6,12,12.0,10.6,13.6,Difficult (College),53.9,14,0.01,245,0.21,46.0,0,0.0,0.04,0.02,1.445,0.14
GitHub Articles,non_related_github,seanpm2001__SeansLifeArchive_Images_Bit_City_-NimbleBit_Game-_Y2025__2025__03_March__04__README,https://github.com/seanpm2001/SeansLifeArchive_Images_Bit_City_-NimbleBit_Game-_Y2025,932.78,547.79,4827.8,5.38,0.26,356,1390,0.61,8.0,68.8,7.2,8,9.0,9.3,6.8,Standard (8th-9th grade),72.2,171,0.13,855,0.63,46.0,0,0.0,0.08,0.33,0.651,0.07
GitHub Articles,non_related_github,Harsh-raj-x07__Spotify-2.0-Clone-Music-App-Card-Features__SpotifyClone-main__README,https://github.com/Harsh-raj-x07/Spotify-2.0-Clone-Music-App-Card-Features,100.61,74.02,378.56,2.18,1.54,842,547,0.49,10.6,49.3,8.8,9,11.7,11.0,12.4,Difficult (College),26.0,11,0.01,22,0.03,46.0,0,0.0,0.1,0.3,0.82,0.4
PURE,pure_raw_markdown,2006 - eirene sys 15,"PURE dataset (Napolitano et al., 2021)",187.52,135.77,404.83,2.19,1.44,1951,1352,0.48,10.6,48.4,9.1,9,12.5,11.5,10.6,Difficult (College),22.5,27,0.01,235,0.09,44.2,14,0.6,0.05,0.1,2.89,0.23
GitHub Articles,non_related_github,LexPredict__lexpredict-contraxsuite__sdk__csharp__sdk__README,https://github.com/LexPredict/lexpredict-contraxsuite,698.56,307.91,709.28,3.09,1.18,1672,1415,0.29,26.0,-91.2,27.9,33,18.2,12.9,37.6,Very Difficult (College Graduate),51.6,10,0.01,211,0.17,46.0,0,0.0,0.02,0.0,0.579,0.26
GitHub Articles,non_related_github,trackawesomelist__trackawesomelist__content__robinrodricks__awesome-actionscript3__readme__README,https://github.com/trackawesomelist/trackawesomelist,107.92,93.11,123.22,1.75,2.25,1640,730,0.29,11.4,43.3,8.9,12,11.8,10.2,14.0,Difficult (College),81.3,94,0.1,396,0.42,46.0,0,0.0,0.1,0.02,0.78,0.1
GitHub Articles,non_related_github,seanpm2001__GitHub_Stats_A__Seasons__14___OldVersions__README__English__USA__README_V20,https://github.com/seanpm2001/GitHub_Stats_A,134.69,69.88,351.3,2.35,0.76,475,626,0.48,15.7,28.2,13.3,22,14.7,13.5,13.7,Very Difficult (College Graduate),59.8,62,0.06,1123,1.14,46.0,0,0.0,0.06,0.25,3.335,0.22
GitHub Articles,non_related_github,seanpm2001__SeansLifeArchive_Images_Bit_City_-NimbleBit_Game-_Y2025__2025__03_March__04__README_V1,https://github.com/seanpm2001/SeansLifeArchive_Images_Bit_City_-NimbleBit_Game-_Y2025,932.78,547.79,4827.8,5.38,0.26,357,1390,0.61,8.0,68.8,7.2,8,9.0,9.3,6.8,Standard (8th-9th grade),72.2,171,0.13,855,0.63,46.0,0,0.0,0.08,0.33,0.651,0.07
GitHub Articles,non_related_github,lhcopetti__satori-reader-cli__history__README-2025-06-14,https://github.com/lhcopetti/satori-reader-cli,208.1,74.9,311.76,4.38,12.65,2100,166,0.24,9.6,42.9,8.1,10,13.8,9.0,7.1,Difficult (College),0.6,7,0.0,0,0.0,46.0,0,0.0,0.0,0.0,0.966,0.0
GitHub Articles,non_related_github,seanpm2001__GitHub_Organization_Info__OrganizationGraphics__ByDate__2025__10_October__30__README,https://github.com/seanpm2001/GitHub_Organization_Info,72.4,48.59,193.71,1.46,0.94,644,682,0.46,10.7,52.6,9.3,11,11.5,11.3,10.2,Fairly Difficult (10th-12th grade),48.9,29,0.05,187,0.35,30.0,0,0.0,0.09,0.5,1.286,0.11
GitHub Articles,non_related_github,jiguang123__Big-Data-Learning-Note__07_数据结构与算法__LeetCode_C__与Python混合版__README,https://github.com/jiguang123/Big-Data-Learning-Note,686.39,346.55,1040.98,5.98,4.16,2976,716,0.09,10.9,59.8,5.7,27,8.7,7.5,5.1,Fairly Difficult (10th-12th grade),0.0,0,0.0,0,0.0,46.0,0,0.0,0.22,0.0,0.805,0.02
GitHub Articles,non_related_github,liupeng3425__interpretable-research__README,https://github.com/liupeng3425/interpretable-research,147.15,100.4,503.24,1.58,2.05,2485,1210,0.4,13.6,30.1,12.2,13,14.8,13.1,15.2,Difficult (College),23.9,97,0.06,98,0.06,46.0,0,0.0,0.12,0.35,1.811,0.4
GitHub Articles,non_related_github,seanpm2001__RaspberryPi-Blog__Learn-Pi__2023__01_January__10__OldVersions__English__USA__README_V1,https://github.com/seanpm2001/RaspberryPi-Blog,85.47,54.29,237.78,2.11,1.23,762,619,0.41,9.3,60.8,7.6,9,11.1,10.9,8.3,Standard (8th-9th grade),62.4,117,0.19,100,0.17,46.0,0,0.0,0.08,0.32,2.373,0.13
PURE,pure_raw_markdown,2009 - peppol,"PURE dataset (Napolitano et al., 2021)",609.72,335.14,1574.91,3.22,0.99,1981,2003,0.57,14.9,28.0,13.5,13,18.0,15.5,13.7,Very Difficult (College Graduate),37.6,310,0.09,485,0.14,30.0,53,1.6,0.21,0.36,1.073,0.67
GitHub Articles,non_related_github,robertbus__awesome-stars__README,https://github.com/robertbus/awesome-stars,26.86,20.63,50.34,1.19,7.27,2290,315,0.23,13.5,33.9,11.5,13,14.2,12.7,16.2,Difficult (College),61.7,42,0.06,509,0.68,46.0,0,0.0,0.22,0.07,0.635,0.19
GitHub Articles,non_related_github,webcrafter011__My-Leetcode-Solutions__README,https://github.com/webcrafter011/My-Leetcode-Solutions,773.65,193.03,1013.56,4.7,0.77,361,469,0.84,13.9,46.8,10.7,18,14.0,13.1,13.8,Difficult (College),17.7,48,0.11,0,0.0,30.0,0,0.0,1.0,0.0,0.261,0.07
GitHub Articles,non_related_github,gkbharathy__LMOps__minillm__transformers__README_ja,https://github.com/gkbharathy/LMOps,188.3,83.83,212.12,2.0,5.77,2833,491,0.32,11.5,47.6,8.6,12,12.0,10.7,13.7,Difficult (College),53.9,14,0.01,245,0.21,46.0,0,0.0,0.04,0.02,1.44,0.14
GitHub Articles,non_related_github,mike6649__fl-minillm__transformers__README_ja,https://github.com/mike6649/fl-minillm,188.3,83.82,212.13,2.0,5.77,2834,491,0.32,11.5,47.7,8.6,12,12.0,10.7,13.6,Difficult (College),53.9,14,0.01,245,0.21,46.0,0,0.0,0.04,0.02,1.44,0.14
GitHub Articles,non_related_github,fcc-ea-mirror__Z5Y__readme,https://github.com/fcc-ea-mirror/Z5Y,350.95,279.1,371.81,5.04,0.75,517,690,0.25,20.8,56.3,6.8,71,9.3,8.8,8.3,Fairly Difficult (10th-12th grade),46.8,32,0.09,14,0.04,46.0,0,0.0,0.01,0.01,0.713,0.04
GitHub Articles,non_related_github,geminiwenxu__Tokenizers__resegment_explain__transformers__README_ja,https://github.com/geminiwenxu/Tokenizers,188.3,83.82,212.6,2.0,5.77,2834,491,0.32,11.5,47.5,8.6,12,12.0,10.7,13.7,Difficult (College),53.9,14,0.01,245,0.21,46.0,0,0.0,0.04,0.02,1.44,0.14
GitHub Articles,non_related_github,F-JISOO__ICLR-2025-Submitted__README,https://github.com/F-JISOO/ICLR-2025-Submitted,446.79,150.63,621.28,4.64,3.41,1252,367,0.25,13.7,29.8,11.3,14,15.3,12.4,16.1,Very Difficult (College Graduate),54.9,14,0.02,384,0.48,46.0,0,0.0,0.05,0.01,0.829,0.24
GitHub Articles,non_related_github,RajRabadiya018__Leetcode__README,https://github.com/RajRabadiya018/Leetcode,1015.17,360.79,1301.59,4.59,0.66,663,1005,0.89,12.8,52.4,10.2,18,11.5,11.2,12.8,Fairly Difficult (10th-12th grade),8.4,49,0.06,0,0.0,18.0,0,0.0,1.02,0.05,0.239,0.06
GitHub Articles,non_related_github,hidevscommunity__hidevs-Interview-Preparation__MLOps__Readme,https://github.com/hidevscommunity/hidevs-Interview-Preparation,163.35,104.44,465.61,2.86,1.15,702,612,0.5,13.9,33.0,12.5,12,15.8,14.1,14.6,Difficult (College),38.3,44,0.06,44,0.06,30.0,0,0.0,0.28,0.52,0.672,0.7
GitHub Articles,non_related_github,thibaultduponchelle__perlres__README,https://github.com/thibaultduponchelle/perlres,57.59,41.98,112.05,2.38,8.79,2269,258,0.24,10.0,56.0,7.2,11,10.5,9.8,11.6,Fairly Difficult (10th-12th grade),67.8,68,0.05,680,0.51,46.0,0,0.0,0.05,0.03,1.0,0.13
GitHub Articles,non_related_github,lackhole__stl-preview__README,https://github.com/lackhole/stl-preview,321.53,318.59,337.17,3.93,0.94,1094,1167,0.09,7.0,83.7,2.0,26,4.6,5.5,-3.5,Easy (6th grade),56.8,68,0.04,53,0.03,46.0,0,0.0,0.01,0.0,2.095,0.02
GitHub Articles,non_related_github,fcc-ea-mirror__2ABBS__readme,https://github.com/fcc-ea-mirror/2ABBS,361.35,246.75,370.98,5.11,0.78,456,585,0.19,20.5,69.9,4.7,79,6.6,7.4,4.7,Standard (8th-9th grade),38.2,17,0.05,14,0.04,46.0,0,0.0,0.01,0.01,0.661,0.09
GitHub Articles,non_related_github,seanpm2001__GitHub_Organization_Info__OrganizationGraphics__ByDate__2025__10_October__30___OldVersions__README__English__USA__README_V1,https://github.com/seanpm2001/GitHub_Organization_Info,72.4,48.59,193.71,1.46,0.94,643,682,0.47,10.7,52.6,9.3,11,11.5,11.3,10.2,Fairly Difficult (10th-12th grade),48.9,29,0.05,187,0.35,30.0,0,0.0,0.09,0.5,1.288,0.11
GitHub Articles,non_related_github,seanpm2001__SeansLifeArchive_Images_AdCom_Y2023__2023__12_December__30__README_V1,https://github.com/seanpm2001/SeansLifeArchive_Images_AdCom_Y2023,412.14,289.5,2292.22,3.48,0.35,466,1323,0.54,9.2,63.5,8.0,8,11.2,11.1,7.7,Standard (8th-9th grade),6.8,26,0.03,5,0.01,30.0,0,0.0,0.16,0.6,0.649,0.01
GitHub Articles,non_related_github,StephenDenisEdwards__MauiBlazorAutoB2bApp__README-DEEP-RESEARCH-ENTRA,https://github.com/StephenDenisEdwards/MauiBlazorAutoB2bApp,160.74,115.92,635.72,2.32,1.33,1050,790,0.5,10.7,50.6,9.7,9,11.8,11.6,10.9,Fairly Difficult (10th-12th grade),50.8,22,0.02,166,0.17,30.0,2,0.2,0.19,0.41,0.764,0.47
GitHub Articles,non_related_github,havealoha__havealoha__readme,https://github.com/havealoha/havealoha,885.71,79.15,1397.02,4.5,13.85,2327,168,0.05,64.2,-124.4,87.2,116,92.3,17.8,7.5,Very Difficult (College Graduate),26.8,1,0.01,2,0.01,18.0,0,0.0,1.24,0.64,2.224,37.44
GitHub Articles,non_related_github,fcc-ea-mirror__YW5__readme,https://github.com/fcc-ea-mirror/YW5,533.69,391.41,554.33,5.46,0.71,655,928,0.16,22.2,66.4,5.1,86,7.1,7.6,5.0,Standard (8th-9th grade),35.7,26,0.05,14,0.03,46.0,0,0.0,0.0,0.01,0.558,0.09
GitHub Articles,non_related_github,seanpm2001__RaspberryPi-Blog__Learn-Pi__New-Pi__2022__06_June__04__OldVersions__English__USA__README_V1,https://github.com/seanpm2001/RaspberryPi-Blog,998.94,490.39,4672.29,4.59,0.71,1426,2014,0.33,9.7,64.5,8.7,9,12.0,11.5,7.1,Standard (8th-9th grade),47.4,253,0.12,394,0.18,30.0,0,0.0,0.15,0.73,2.769,0.15
GitHub Articles,non_related_github,StephenDenisEdwards__MauiBlazorAutoB2cApp-AzureAI__README-DEEP-RESEARCH-ENTRA,https://github.com/StephenDenisEdwards/MauiBlazorAutoB2cApp-AzureAI,160.74,115.92,635.72,2.32,1.33,1050,790,0.5,10.7,50.5,9.7,9,11.8,11.6,10.9,Fairly Difficult (10th-12th grade),50.8,22,0.02,166,0.17,30.0,2,0.2,0.19,0.41,0.764,0.47
Small PRD,small_prd_files,ddttom__parser__prd,https://github.com/ddttom/parser,15.67,7.71,32.93,1.34,5.93,249,42,0.4,17.9,7.9,15.5,19,19.0,15.3,21.4,Very Difficult (College Graduate),100.0,45,0.62,168,2.33,44.8,4,5.6,0.32,0.14,1.894,0.65
GitHub Articles,non_related_github,Enginatics__Oracle-EBS-SQL__CAC_Inventory_Organization_Summary__README,https://github.com/Enginatics/Oracle-EBS-SQL,14.3,10.93,24.27,1.15,4.23,1334,315,0.25,12.8,57.1,11.2,19,14.9,13.4,6.2,Fairly Difficult (10th-12th grade),36.0,19,0.06,13,0.04,46.0,0,0.0,0.08,0.09,12.177,0.37
Small PRD,small_prd_files,evelasko__ICMLify__prd,https://github.com/evelasko/ICMLify,17.17,14.81,47.5,1.02,1.95,394,202,0.44,10.8,43.9,9.2,9,12.8,11.1,12.5,Difficult (College),75.7,22,0.09,90,0.36,46.0,0,0.0,0.13,0.32,0.996,0.25
GitHub Articles,non_related_github,seanpm2001__GitHub_Organization_Info__OrganizationGraphics__ByDate__2025__08_August__22___OldVersions__README__English__USA__README_V1,https://github.com/seanpm2001/GitHub_Organization_Info,72.04,48.56,194.19,1.46,0.95,641,677,0.47,10.4,52.9,9.2,11,11.4,11.2,10.1,Fairly Difficult (10th-12th grade),48.7,29,0.05,185,0.35,30.0,0,0.0,0.09,0.5,1.29,0.11
Small PRD,small_prd_files,seontechnologies__playwright-utils__docs__bmad-method__features__schema-validation__schema-validation-prd,https://github.com/seontechnologies/playwright-utils,30.76,11.38,64.62,2.09,7.68,284,37,0.38,18.8,-1.0,17.0,19,19.5,15.8,22.0,Very Difficult (College Graduate),96.5,34,0.4,76,0.88,46.0,0,0.0,0.21,0.1,1.529,1.36
Small PRD,small_prd_files,masharratt__claude-flow-novice__agents__data-analytics__business-intelligence__prd-generator-agent,https://github.com/masharratt/claude-flow-novice,11.96,4.24,44.6,1.23,19.48,487,25,0.19,26.1,-18.3,25.5,29,29.5,24.2,21.5,Very Difficult (College Graduate),72.4,15,0.35,105,2.44,30.0,0,0.0,0.21,0.67,2.475,3.33
Small PRD,small_prd_files,AryaStark13__Synap-Labs__generated_prds__langchain_prd_v3,https://github.com/AryaStark13/Synap-Labs,24.03,14.0,81.8,1.85,2.89,191,66,0.38,11.1,49.7,9.4,11,11.7,11.4,12.1,Difficult (College),0.0,0,0.0,0,0.0,30.0,0,0.0,0.12,0.44,1.21,0.95
Small PRD,small_prd_files,from104__qcalc__qcalc_PRD,https://github.com/from104/qcalc,15.42,4.75,20.83,1.87,24.92,299,12,0.24,16.2,12.5,14.0,18,16.4,13.2,19.6,Very Difficult (College Graduate),100.0,30,0.52,167,2.88,46.0,0,0.0,0.12,0.02,1.246,0.31
Small PRD,small_prd_files,department-of-veterans-affairs__va.gov-team__products__identity__Products__Product_Briefs__PRD_-_Court-Appointed_Guardian_Access,https://github.com/department-of-veterans-affairs/va.gov-team,16.52,11.22,53.33,1.4,2.6,213,82,0.36,12.2,43.5,10.2,12,13.3,12.3,13.6,Difficult (College),82.5,17,0.19,68,0.77,46.0,0,0.0,0.2,0.25,0.981,0.3
Small PRD,small_prd_files,faezmurshidi__FaezTask__.taskmaster__docs__faez_prd,https://github.com/faezmurshidi/FaezTask,51.43,21.82,96.49,2.94,5.6,364,65,0.42,18.6,10.7,16.8,20,20.0,17.2,19.2,Very Difficult (College Graduate),85.4,43,0.61,144,2.06,46.0,0,0.0,0.11,0.03,1.172,1.39
Small PRD,small_prd_files,yeagerd__briefly__tasks__tasks-prd-mvp,https://github.com/yeagerd/briefly,14.4,4.52,24.32,1.3,12.96,324,25,0.3,11.7,36.1,9.7,11,13.5,10.6,13.2,Difficult (College),72.1,10,0.05,118,0.64,46.0,0,0.0,0.05,0.04,1.154,0.5
Small PRD,small_prd_files,freesmartphone__freesmartphone.github.io__fso-mediawiki-export__Feb11PRDraft,https://github.com/freesmartphone/freesmartphone.github.io,7.73,5.36,22.48,1.19,6.82,225,33,0.24,11.7,44.7,10.3,11,13.4,12.5,12.3,Difficult (College),34.9,2,0.03,6,0.08,30.0,0,0.0,0.15,0.41,1.248,0.21
Small PRD,small_prd_files,bluewings1211__codebase-RAG__tasks__prd-search-functionality-bug-fixes,https://github.com/bluewings1211/codebase-RAG,33.1,18.67,80.27,2.3,2.93,196,67,0.38,13.4,35.4,10.9,14,13.8,12.2,15.5,Difficult (College),89.3,20,0.22,68,0.76,46.0,1,1.1,0.11,0.12,0.773,0.7
GitHub Articles,non_related_github,seanpm2001__Raspberry-Pi-Network-Setup__Learn-Pi__2023__01_January__10__README,https://github.com/seanpm2001/Raspberry-Pi-Network-Setup,85.78,54.43,238.14,2.12,1.23,760,619,0.41,9.3,60.9,7.6,9,11.1,10.9,8.3,Standard (8th-9th grade),62.4,117,0.19,100,0.17,46.0,0,0.0,0.08,0.32,2.373,0.13
Small PRD,small_prd_files,gwherrett__mako-sync__docs__prd-mako-sync,https://github.com/gwherrett/mako-sync,78.81,44.27,162.15,2.73,3.55,819,231,0.38,15.1,27.9,13.6,16,16.1,14.5,16.4,Very Difficult (College Graduate),81.2,59,0.25,430,1.85,64.0,43,18.5,0.18,0.1,1.223,1.2
Small PRD,small_prd_files,Vrooli__Vrooli__scenarios__notes__PRD,https://github.com/Vrooli/Vrooli,13.2,2.2,28.8,0.81,24.9,249,10,0.25,21.1,6.8,19.5,24,22.9,19.5,18.9,Very Difficult (College Graduate),91.6,27,1.0,96,3.56,46.0,0,0.0,0.37,0.07,3.12,1.33
Small PRD,small_prd_files,ginkorea__llm_agentic_system__prd__lice_PRD,https://github.com/ginkorea/llm_agentic_system,21.52,10.1,53.84,2.2,5.39,167,31,0.39,12.7,39.3,10.7,13,13.5,12.3,14.3,Difficult (College),90.1,19,0.26,40,0.55,46.0,0,0.0,0.18,0.21,0.689,0.68
Small PRD,small_prd_files,talentseek__planbee__PlanBv2PRD,https://github.com/talentseek/planbee,13.21,10.8,23.22,1.18,2.79,404,145,0.34,11.0,45.4,8.8,11,11.3,10.2,13.5,Difficult (College),71.6,18,0.12,73,0.49,46.0,0,0.0,0.05,0.05,1.255,0.37
Small PRD,small_prd_files,ddev__signing_tools__update_prd,https://github.com/ddev/signing_tools,24.53,9.36,52.97,1.71,5.67,204,36,0.45,17.2,12.8,15.0,20,17.6,14.9,18.4,Very Difficult (College Graduate),86.2,19,0.27,109,1.54,46.0,0,0.0,0.0,0.07,1.581,0.46
Small PRD,small_prd_files,Matt-Hulme__brainstormer__mvp-v2-prd,https://github.com/Matt-Hulme/brainstormer,28.84,11.95,74.42,2.43,10.5,399,38,0.29,17.6,24.0,16.2,19,19.1,16.7,16.7,Very Difficult (College Graduate),82.1,28,0.4,149,2.13,46.0,0,0.0,0.19,0.27,2.032,0.94
Small PRD,small_prd_files,vfarcic__dot-ai__shared-prompts__prd-update-progress,https://github.com/vfarcic/dot-ai,38.17,14.42,108.25,2.2,5.94,315,53,0.42,18.7,13.6,17.5,20,20.4,17.7,18.0,Very Difficult (College Graduate),96.5,48,0.67,135,1.88,46.0,0,0.0,0.17,0.21,2.205,1.53
