Category,Subfolder,File,Source,PW score (Entity Coherence),PU score (Entity Coherence),PACC uniform (Entity Coherence),PACC weighted (Entity Coherence),Avg entities/sentence (Entity Coherence),Total entities (Entity Coherence),Sentences analyzed (Entity Coherence),Entity persistence ratio (Entity Coherence),Consensus grade level (Readability),Flesch Reading Ease 0-100 (Readability),Flesch-Kincaid grade level (Readability),ARI grade level (Readability),Gunning Fog grade level (Readability),SMOG grade level (Readability),Coleman-Liau grade level (Readability),Interpretation (Readability),Structure score 0-100 (Structure),Headings count (Structure),Headings per sentence (Structure),List items count (Structure),Lists per sentence (Structure),Readiness score 0-100 (Requirements),SMAO sentences count (Requirements),SMAO sentences % (Requirements),Vague words per sentence (Requirements),Anaphora per sentence (Requirements),Sentence CV (Requirements),CPRE terms per sentence (CPRE)
Small PRD,small_prd_files,v1truv1us__automated-compromise-mitigation__acm-prd,https://github.com/v1truv1us/automated-compromise-mitigation,94.27,31.34,184.49,2.88,7.51,789,105,0.43,22.3,-3.9,21.6,24,25.2,21.1,19.5,Very Difficult (College Graduate),72.4,60,0.48,131,1.06,46.0,2,1.6,0.19,0.08,1.721,2.73
Small PRD,small_prd_files,indexzero__dotvibes__vlurp__KingInYellow18__claudeagents__claude__agents__prd-generator-agent,https://github.com/indexzero/dotvibes,11.68,4.2,44.24,1.22,19.48,487,25,0.18,26.1,-18.2,25.4,29,29.5,24.2,21.5,Very Difficult (College Graduate),72.5,15,0.35,105,2.44,30.0,0,0.0,0.21,0.67,2.49,3.33
Small PRD,small_prd_files,tekdi__shiksha-assessment-service__docs__service-prd,https://github.com/tekdi/shiksha-assessment-service,16.15,9.78,25.85,2.0,6.29,258,41,0.29,12.8,34.8,11.0,14,11.8,11.2,16.1,Difficult (College),91.4,25,0.36,61,0.87,46.0,0,0.0,0.3,0.04,1.441,0.46
Small PRD,small_prd_files,korallis__Gideon__prd,https://github.com/korallis/Gideon,150.86,51.11,293.46,3.66,6.04,858,142,0.5,22.4,-12.0,21.1,24,24.3,20.2,22.6,Very Difficult (College Graduate),85.1,110,0.45,545,2.23,46.0,15,6.1,0.27,0.08,1.402,1.82
Small PRD,small_prd_files,sandraschi__advanced-memory-mcp__PRD-1.0.0,https://github.com/sandraschi/advanced-memory-mcp,42.79,23.44,58.93,2.64,5.97,430,72,0.32,15.8,10.2,14.2,16,17.4,13.4,19.2,Very Difficult (College Graduate),100.0,49,0.4,147,1.2,46.0,0,0.0,0.32,0.04,2.389,0.77
Small PRD,small_prd_files,manishindiyaar__cureka__app_prd,https://github.com/manishindiyaar/cureka,24.96,15.09,73.68,1.93,3.62,398,110,0.36,10.3,55.6,8.5,9,11.5,11.2,11.0,Fairly Difficult (10th-12th grade),21.7,10,0.05,5,0.03,28.8,2,1.1,0.09,0.44,1.224,0.52
Small PRD,small_prd_files,dudgeon__chat-frontier-flora__tasks__prd-auth-flow,https://github.com/dudgeon/chat-frontier-flora,19.08,8.86,50.31,1.8,6.11,220,36,0.34,14.8,30.4,13.2,16,14.8,13.7,16.4,Difficult (College),81.7,15,0.26,123,2.12,46.0,7,12.1,0.07,0.21,1.273,1.17
Small PRD,small_prd_files,ErpNetDocs__model__tables__Prd_Resources,https://github.com/ErpNetDocs/model,71.67,7.54,107.12,1.94,6.96,167,24,0.48,17.1,31.2,16.3,22,19.3,16.5,12.2,Difficult (College),39.1,25,0.61,1,0.02,30.0,0,0.0,0.49,0.29,1.991,1.07
Small PRD,small_prd_files,joydipdutta9943__RAG-System__rag_prd,https://github.com/joydipdutta9943/RAG-System,64.0,20.23,117.25,2.59,6.61,423,64,0.47,22.0,-9.6,20.1,23,24.0,19.7,23.3,Very Difficult (College Graduate),97.8,78,0.85,238,2.59,46.0,0,0.0,0.34,0.05,1.149,1.27
Small PRD,small_prd_files,unclecode__tap2talk-py__prd,https://github.com/unclecode/tap2talk-py,18.9,12.66,48.9,0.98,4.33,667,154,0.39,10.1,54.6,8.3,10,10.4,10.4,12.0,Fairly Difficult (10th-12th grade),76.2,36,0.12,151,0.49,46.0,0,0.0,0.12,0.08,1.512,0.22
